,0
0,338
1,338
2,339
3,341
4,341
5,340
6,340
7,339
8,341
9,342
10,341
11,340
12,340
13,341
14,341
15,340
16,339
17,340
18,342
19,342
20,341
21,339
22,340
23,342
24,342
25,341
26,340
27,340
28,342
29,342
30,341
31,339
32,340
33,341
34,341
35,340
36,340
37,340
38,342
39,342
40,341
41,340
42,341
43,343
44,343
45,341
46,340
47,341
48,342
49,342
50,340
51,338
52,339
53,341
54,341
55,339
56,339
57,340
58,342
59,341
60,339
61,338
62,339
63,341
64,342
65,339
66,338
67,339
68,343
69,342
70,340
71,339
72,339
73,341
74,341
75,340
76,339
77,340
78,341
79,341
80,339
81,339
82,339
83,341
84,341
85,339
86,338
87,340
88,342
89,341
90,339
91,338
92,340
93,341
94,341
95,340
96,339
97,341
98,342
99,342
100,340
101,339
102,339
103,340
104,340
105,338
106,339
107,340
108,341
109,340
110,337
111,338
112,340
113,342
114,342
115,341
116,339
117,340
118,341
119,342
120,341
121,340
122,341
123,342
124,342
125,340
126,340
127,341
128,342
129,342
130,340
131,340
132,341
133,342
134,342
135,341
136,340
137,340
138,342
139,341
140,340
141,340
142,341
143,343
144,342
145,341
146,341
147,341
148,342
149,343
150,341
151,340
152,340
153,341
154,342
155,340
156,339
157,340
158,342
159,342
160,340
161,340
162,341
163,342
164,341
165,340
166,339
167,341
168,342
169,341
170,340
171,340
172,341
173,342
174,341
175,340
176,340
177,341
178,343
179,342
180,340
181,339
182,341
183,343
184,342
185,341
186,340
187,340
188,341
189,341
190,341
191,341
192,342
193,343
194,343
195,341
196,340
197,341
198,343
199,343
200,341
201,340
202,341
203,341
204,341
205,340
206,339
207,342
208,342
209,341
210,339
211,338
212,341
213,342
214,341
215,339
216,340
217,340
218,341
219,341
220,339
221,340
222,342
223,344
224,342
225,341
226,340
227,341
228,341
229,341
230,340
231,340
232,341
233,342
234,341
235,339
236,338
237,340
238,342
239,341
240,340
241,340
242,342
243,343
244,342
245,341
246,340
247,341
248,341
249,341
250,340
251,340
252,341
253,342
254,341
255,339
256,339
257,341
258,343
259,342
260,340
261,339
262,342
263,343
264,340
265,339
266,339
267,341
268,342
269,341
270,340
271,339
272,341
273,343
274,342
275,341
276,341
277,342
278,343
279,342
280,341
281,342
282,343
283,343
284,342
285,341
286,340
287,341
288,342
289,341
290,340
291,340
292,342
293,343
294,341
295,340
296,339
297,341
298,342
299,340
300,338
301,338
302,340
303,342
304,339
305,337
306,338
307,341
308,342
309,340
310,339
311,339
312,341
313,342
314,342
315,340
316,340
317,341
318,342
319,342
320,341
321,339
322,340
323,341
324,341
325,339
326,339
327,341
328,341
329,341
330,340
331,340
332,341
333,341
334,341
335,340
336,340
337,341
338,342
339,342
340,341
341,341
342,342
343,342
344,340
345,339
346,339
347,341
348,342
349,341
350,340
351,340
352,342
353,342
354,341
355,340
356,341
357,343
358,345
359,343
360,341
361,341
362,342
363,343
364,342
365,341
366,341
367,343
368,344
369,342
370,340
371,340
372,341
373,344
374,341
375,339
376,339
377,343
378,343
379,342
380,340
381,340
382,341
383,342
384,341
385,339
386,339
387,340
388,341
389,340
390,339
391,340
392,342
393,343
394,341
395,339
396,340
397,342
398,342
399,341
400,339
401,340
402,341
403,342
404,341
405,340
406,340
407,341
408,342
409,341
410,340
411,339
412,342
413,343
414,342
415,341
416,342
417,342
418,342
419,340
420,340
421,340
422,342
423,343
424,342
425,340
426,340
